,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48
81,21414,20792,20585,20541,20373,20148,19985,19944,19896,19750,20366,21142,23809,26241,28887,30566,30790,30582,30850,30884,30795,31018,31272,31585,31855,31964,31856,31848,31923,31714,31573,32214,32867,33750,34219,34081,34103,34112,33460,32904,31977,31028,30312,29130,27830,25924,23946,22297
82,21145,20350,19940,19763,19414,19143,18732,18645,18610,18522,18866,19862,22298,24882,27875,29508,30672,30589,30882,30945,30597,30555,31013,31138,31090,30742,30886,30877,30775,30453,30558,31141,31978,32847,33629,33839,33798,33474,33172,32635,31902,31563,30752,29727,28093,25927,25272,23687
83,20938,20178,20042,20248,19894,19656,19468,19378,19234,19189,19617,20831,23637,26449,29432,30814,31717,31866,32305,32239,31970,32348,32548,32754,32862,32691,32394,32026,32213,32319,32434,33174,33801,34458,34872,34838,34682,34305,33767,33620,32833,32132,31605,30602,29215,27307,26322,24769
84,22489,21885,21573,21414,20979,20750,20382,20510,20163,20253,20739,21701,24193,26660,29521,30976,32313,32352,32790,33148,33035,32855,32726,32874,32922,32762,32607,32474,32409,32264,32243,32815,33509,34098,34403,34460,34146,34075,33631,33294,32907,32590,32105,31160,29764,27987,25495,24062
85,23488,22710,22465,22374,22108,21728,21549,21317,21157,21031,21443,22372,24899,27402,29894,31150,32163,31860,31889,32165,32045,31615,31299,30826,30317,29734,29209,28904,28656,28298,27938,28408,28921,29555,29959,30268,30647,30732,30659,30471,30107,29789,29555,28991,28328,27225,24089,22662
86,22708,21737,21240,21051,20658,20135,19787,19597,19421,18955,18893,19382,20749,21214,22642,23675,24883,25456,25782,25885,26040,26235,25827,25673,25731,25467,25355,24867,24529,23986,23740,23751,24226,25118,26010,26722,27364,27665,27840,27741,27473,27224,26843,26832,26511,25470,21945,20392
87,21528,20670,20223,20016,19647,19245,18947,18952,18506,18021,17965,17931,18620,18975,19559,20398,21496,22534,23422,23752,24165,24073,24201,24048,24222,23930,23486,23112,23146,23080,23080,23424,23935,24794,25660,26611,27251,27478,27352,27220,27279,27038,26686,25915,25422,23983,24828,23347
88,19309,18570,18361,18240,17906,17593,17460,17426,17416,17331,18044,19131,21685,24135,26755,28284,29133,28955,29179,29253,28927,28691,28478,28347,28346,28117,27687,27216,26973,26869,26768,27562,28369,29294,30202,30740,30607,30681,30475,30193,30197,30135,29925,28970,28489,26773,25963,24219
89,22167,21569,21169,21057,20856,20565,20328,20441,20282,19965,20329,21434,23551,25891,28548,29909,30643,30277,30425,30160,29813,29872,29871,30071,30332,30436,30443,30463,30790,31035,31116,31891,32196,32782,33288,33535,33579,33477,33063,32733,32720,32246,31420,30671,29506,27934,25374,23969
90,23109,22111,21577,21546,21226,21077,20948,21049,21098,20981,21348,22019,24396,26779,29692,31217,32147,32295,32415,32409,32184,31721,31347,31269,31475,31319,30946,30643,30419,30323,29948,30180,30871,31495,31645,31640,31671,31718,31673,31593,31497,31067,30617,30007,29068,27366,24907,23538
91,22660,21874,21391,21352,20966,20634,19982,19898,19674,19614,20298,21094,23403,25717,27956,28821,28939,28633,28402,28081,28052,28302,28449,28217,28300,27945,27785,27422,27368,27219,26900,27395,27642,28251,28740,29063,29304,29761,30472,30700,30175,29900,29668,29035,28142,26750,25217,23663
92,22264,21589,21282,20926,20672,20257,19984,19924,19865,19660,20151,21061,23497,25578,27922,28773,29180,28582,28304,27870,27651,27604,27661,27548,27451,27093,26583,26156,25969,25949,25891,26312,27059,27735,28574,28994,29132,29400,29288,29345,29320,29017,28583,28369,27884,26810,22522,21427
93,20497,19804,19247,18888,18558,18235,18003,17874,17767,17815,18223,18664,20077,20845,22243,23365,24427,24538,24577,24221,23898,23417,22621,22037,21484,21178,20789,20528,20424,20561,21064,21378,22511,23997,25795,27024,27781,28031,28599,29182,28574,27517,26747,25795,25050,23967,22947,21718
94,20332,19800,19456,19221,18817,18468,18156,18058,17904,17743,17847,18175,19182,19812,20846,21988,23666,24910,25992,27026,27357,27530,27728,27668,27627,27544,27223,26974,27003,27027,27334,27772,28662,29556,30291,30844,31131,31321,31775,31719,30982,29867,28936,27563,26121,24596,23032,21789
95,20694,20075,19814,19678,19482,19164,18867,18765,18991,19168,20020,21317,24266,26842,29720,30848,31075,30970,30637,30109,29311,29357,29598,29646,29739,29566,29592,29731,29971,30042,30509,31434,32313,33274,34037,34545,34726,34755,34817,34377,33292,31786,30166,28300,26361,24537,24447,22944
96,20834,20249,19890,19834,19744,19439,19337,19293,19471,19709,20688,22033,24560,27344,30227,31794,32837,33030,33915,33774,33508,33382,33326,32903,32586,31988,31319,30897,30833,30690,30498,31298,32321,33280,34240,34652,34537,34674,35378,35202,34143,32956,31395,29478,27740,26118,24351,22885
97,21864,21237,20828,20716,20468,20203,20054,19933,20130,20377,21101,22354,25149,28192,31211,32840,33404,33478,33747,33718,33139,32937,32968,32644,32534,32247,31726,31196,31163,31121,31350,31965,32802,33778,34716,34972,35113,35273,35853,35953,34946,33498,31964,30203,28143,26360,22989,21649
98,21700,20772,20443,20427,19775,19453,19094,18881,18748,18923,19641,20828,23368,26419,29431,30848,31449,30769,30742,30556,29946,29523,29177,28744,28752,28313,27872,27668,27875,27495,27664,28444,29420,30544,31653,32352,32805,33025,33961,33678,32648,31597,30253,28511,26375,24577,23236,21972
99,20475,19936,19533,19474,19194,18728,18376,18481,18658,18867,19520,20709,23313,26051,29025,30427,31100,30952,30982,30784,30415,29982,29671,29882,30203,29858,29555,29250,28893,28735,28766,29100,29549,30293,31012,31559,32068,32324,33006,32998,32094,30706,29176,27574,26228,24822,23424,22103
